Census_Year,GEO_FIPS,METAREA,Race,RaceNum,V6,V7,V8,V9,V10,V11,V12,Total,GINI,HighSchoolorLess,SomeCollege,CollegeGrad,PostCollegeGrad,EDUCATTotal,SEXmale,SEXfemale,SEXtotal,ManagerialandProfessional,TechnicalSalesandAdministrative,Service,FarmingForrestryandFishing,PrecisonProductionCraftandRepairers,OperativesandLaborers,NonOccupationalResponses,OCCCATTotal,filter_$,TheilOccDiversity
1990,12420.0,"Austin, TX",Hispanic,4.0,13565.0,58599.0,17682.0,2744.0,700.0,100.0,2508.0,95898.0,0.5622839197105732,63029.0,21966.0,7413.0,3490.0,95898.0,49170.0,46728.0,95898.0,13265.0,24285.0,15652.0,1894.0,9205.0,14814.0,16783.0,95898.0,1.0,0.9318484861864726
1990,12420.0,"Austin, TX",White NH,5.0,32890.0,193520.0,106638.0,33855.0,19748.0,3313.0,7493.0,397457.0,0.5288126805004549,129367.0,139116.0,88384.0,40590.0,397457.0,196430.0,201027.0,397457.0,121608.0,127490.0,34201.0,3978.0,25182.0,23410.0,61588.0,397457.0,1.0,0.8298198043412582
1990,12420.0,"Austin, TX",Total,6.0,56825.0,292754.0,135651.0,38781.0,21071.0,3543.0,11300.0,559925.0,0.5437221213604797,226552.0,181098.0,103453.0,48822.0,559925.0,277646.0,282279.0,559925.0,145868.0,169121.0,63313.0,6466.0,37052.0,45555.0,92550.0,559925.0,1.0,0.8691813553353457
1990,12540.0,"Bakersfield, CA",All OtherNH,1.0,882.0,2673.0,1320.0,422.0,68.0,36.0,110.0,5511.0,0.5623302571397405,3608.0,1521.0,154.0,228.0,5511.0,2788.0,2723.0,5511.0,654.0,1214.0,552.0,447.0,656.0,774.0,1214.0,5511.0,1.0,0.9675141323499397
1990,12540.0,"Bakersfield, CA",Asian NH,2.0,1948.0,5964.0,1827.0,736.0,233.0,108.0,307.0,11123.0,0.6164145693811546,6472.0,2727.0,1204.0,720.0,11123.0,4997.0,6126.0,11123.0,1624.0,2489.0,1364.0,1663.0,301.0,986.0,2696.0,11123.0,1.0,0.9319087861959333
1990,12540.0,"Bakersfield, CA",Black NH,3.0,3746.0,11946.0,2611.0,932.0,219.0,26.0,339.0,19819.0,0.5667105749757266,12361.0,6155.0,966.0,337.0,19819.0,10332.0,9487.0,19819.0,1532.0,3791.0,3122.0,661.0,1534.0,2698.0,6481.0,19819.0,1.0,0.901305200360824
1990,12540.0,"Bakersfield, CA",Hispanic,4.0,16967.0,58641.0,12342.0,2613.0,510.0,84.0,2616.0,93773.0,0.5929008456140367,78504.0,12651.0,1719.0,899.0,93773.0,49802.0,43971.0,93773.0,5436.0,13970.0,10492.0,22206.0,6964.0,13629.0,21076.0,93773.0,1.0,0.9475427153081248
1990,12540.0,"Bakersfield, CA",White NH,5.0,32095.0,124743.0,63167.0,24685.0,11064.0,1529.0,5738.0,263021.0,0.5566387119174333,141654.0,83667.0,26942.0,10758.0,263021.0,127597.0,135424.0,263021.0,47489.0,65382.0,25481.0,6113.0,25987.0,23547.0,69022.0,263021.0,1.0,0.9067509926800199
1990,12540.0,"Bakersfield, CA",Total,6.0,55638.0,203967.0,81267.0,29388.0,12094.0,1783.0,9110.0,393247.0,0.5752317991797121,242599.0,106721.0,30985.0,12942.0,393247.0,195516.0,197731.0,393247.0,56735.0,86846.0,41011.0,31090.0,35442.0,41634.0,100489.0,393247.0,1.0,0.9520042520154698
1990,12580.0,"Baltimore, MD",All OtherNH,1.0,629.0,2683.0,1024.0,440.0,251.0,0.0,156.0,5183.0,0.5825090010850149,2993.0,1167.0,567.0,456.0,5183.0,2230.0,2953.0,5183.0,901.0,1272.0,839.0,61.0,533.0,565.0,1012.0,5183.0,1.0,0.92008926966651
1990,12580.0,"Baltimore, MD",Asian NH,2.0,5973.0,12568.0,6465.0,2775.0,1535.0,399.0,902.0,30617.0,0.6228024576034873,11857.0,7050.0,6054.0,5656.0,30617.0,14480.0,16137.0,30617.0,8178.0,8647.0,4098.0,53.0,1530.0,1805.0,6306.0,30617.0,1.0,0.838650094296235
1990,12580.0,"Baltimore, MD",Black NH,3.0,55591.0,265780.0,102170.0,20578.0,4534.0,316.0,9354.0,458323.0,0.5285891285695137,313850.0,97788.0,29840.0,16845.0,458323.0,210558.0,247765.0,458323.0,59199.0,108471.0,81236.0,2901.0,25485.0,65482.0,115549.0,458323.0,1.0,0.8891413298150654
1990,12580.0,"Baltimore, MD",Hispanic,4.0,2777.0,9480.0,4893.0,1950.0,752.0,84.0,520.0,20456.0,0.5685984732685486,9955.0,5807.0,2535.0,2159.0,20456.0,10230.0,10226.0,20456.0,4746.0,4811.0,2517.0,267.0,1758.0,1625.0,4732.0,20456.0,1.0,0.8965221178511766
1990,12580.0,"Baltimore, MD",White NH,5.0,108108.0,585906.0,390109.0,155764.0,71631.0,9894.0,25612.0,1347024.0,0.5142674765203779,703992.0,326606.0,198538.0,117888.0,1347024.0,650645.0,696379.0,1347024.0,330191.0,371101.0,107834.0,12305.0,117030.0,111840.0,296723.0,1347024.0,1.0,0.872076968827112
