price,country_Australia,points,country_Austria,country_Portugal,country_US,taster_name_Alexander Peartree,taster_name_Matt Kettmann,taster_name_Michael Schachner,taster_name_Paul Gregutt
35.0,0,85,0,0,1,0,0,0,0
15.0,0,85,0,0,0,0,0,1,0
45.0,0,89,0,0,1,0,0,0,0
55.0,0,89,0,0,1,0,0,0,0
20.0,0,89,0,0,0,0,0,0,0
18.0,0,89,0,0,0,0,0,0,0
35.0,0,89,0,0,0,0,0,0,0
13.0,0,89,0,0,0,0,0,0,0
40.0,0,89,0,0,1,0,0,0,1
37.0,0,89,0,0,0,0,0,1,0
39.0,0,89,0,0,1,0,0,0,0
60.0,0,89,0,0,1,0,0,0,0
19.0,0,89,0,0,0,0,0,0,0
40.0,0,89,0,0,0,0,0,0,0
14.0,0,89,0,0,0,0,0,1,0
40.0,0,89,0,0,0,0,0,0,0
36.0,0,89,0,0,0,0,0,0,0
17.0,0,89,1,0,0,0,0,0,0
25.0,0,89,0,0,0,0,0,0,0
15.0,0,89,0,0,0,0,0,0,0
26.0,0,89,0,0,0,0,0,0,0
19.0,0,89,0,0,0,0,0,1,0
13.0,0,89,0,0,0,0,0,0,0
30.0,0,89,0,0,0,0,0,1,0
20.0,0,89,0,0,1,0,0,0,0
30.0,0,89,0,0,1,0,0,0,0
50.0,0,89,0,0,1,0,0,0,1
52.0,0,89,0,0,0,0,0,0,0
24.0,0,92,1,0,0,0,0,0,0
34.0,0,92,0,0,1,0,0,0,0
41.0,0,92,0,0,0,0,0,0,0
52.0,0,92,0,0,1,0,0,0,1
215.0,0,92,0,0,0,0,0,1,0
60.0,0,92,0,0,1,0,0,0,0
40.0,0,92,0,0,0,0,0,1,0
125.0,0,92,0,0,1,0,0,0,0
45.0,0,92,0,0,0,0,0,0,0
70.0,1,92,0,0,0,0,0,0,0
30.0,0,92,0,0,0,0,0,1,0
35.0,0,87,0,0,1,0,0,0,0
20.0,0,87,0,0,0,0,0,1,0
15.0,0,87,0,0,1,0,0,0,0
