V12,CollegeGrad,Service,Race_Asian NH,Race_Black NH,Race_White NH
578.0,2237.0,3682.0,0,0,0
34404.0,308291.0,171190.0,0,0,1
21.0,87.0,247.0,0,0,0
514.0,3749.0,1061.0,1,0,0
1008.0,3209.0,7877.0,0,1,0
804.0,2158.0,4053.0,0,0,0
15889.0,95518.0,63279.0,0,0,1
63.0,42.0,297.0,0,0,0
117.0,1239.0,822.0,1,0,0
2421.0,8913.0,22266.0,0,1,0
105.0,777.0,864.0,0,0,0
14169.0,88077.0,58593.0,0,0,1
63.0,156.0,396.0,0,0,0
288.0,1818.0,1254.0,1,0,0
7491.0,15876.0,49518.0,0,1,0
582.0,2739.0,4647.0,0,0,0
8049.0,62232.0,33213.0,0,0,1
576.0,2330.0,3178.0,0,0,0
9500.0,89001.0,52721.0,1,0,0
31744.0,112482.0,264966.0,0,1,0
29035.0,65606.0,210642.0,0,0,0
84152.0,611659.0,250607.0,0,0,1
223.0,569.0,538.0,0,0,0
1983.0,11401.0,4238.0,1,0,0
3684.0,11987.0,27390.0,0,1,0
2928.0,8437.0,19963.0,0,0,0
47959.0,266802.0,152736.0,0,0,1
61.0,79.0,210.0,0,0,0
1603.0,15521.0,2663.0,1,0,0
1261.0,5156.0,10752.0,0,1,0
2503.0,6345.0,12619.0,0,0,0
20656.0,137468.0,50834.0,0,0,1
59.0,168.0,206.0,0,0,0
493.0,9165.0,1820.0,1,0,0
1203.0,4488.0,6898.0,0,1,0
2580.0,8292.0,15432.0,0,0,0
3243.0,34706.0,19225.0,0,0,1
57.0,257.0,186.0,0,0,0
828.0,12931.0,2184.0,1,0,0
1041.0,6271.0,6806.0,0,1,0
1169.0,4513.0,6947.0,0,0,0
14634.0,119535.0,50747.0,0,0,1
33.0,407.0,519.0,0,0,0
1130.0,11586.0,2802.0,1,0,0
6747.0,22666.0,46017.0,0,1,0
2661.0,7790.0,15333.0,0,0,0
24770.0,169631.0,60490.0,0,0,1
81.0,195.0,750.0,0,0,0
498.0,3882.0,4548.0,1,0,0
5151.0,17349.0,41304.0,0,1,0
264.0,1683.0,2457.0,0,0,0
10377.0,80499.0,51717.0,0,0,1
612.0,2079.0,3656.0,0,0,0
325.0,2023.0,1474.0,1,0,0
2287.0,5582.0,15380.0,0,1,0
528.0,931.0,3857.0,0,0,0
10525.0,77867.0,56427.0,0,0,1
0.0,177.0,444.0,0,0,0
105.0,821.0,885.0,1,0,0
956.0,2597.0,6489.0,0,1,0
368.0,885.0,1137.0,0,0,0
7323.0,56086.0,35810.0,0,0,1
128.0,193.0,551.0,0,0,0
375.0,3250.0,2906.0,1,0,0
2380.0,5927.0,20050.0,0,1,0
1978.0,6617.0,13101.0,0,0,0
13398.0,98009.0,72368.0,0,0,1
136.0,710.0,1145.0,0,0,0
2194.0,14795.0,7895.0,1,0,0
14376.0,44940.0,119689.0,0,1,0
3206.0,5749.0,11661.0,0,0,0
61447.0,438942.0,242521.0,0,0,1
581.0,1023.0,4845.0,0,0,0
548.0,5438.0,3314.0,1,0,0
1300.0,3729.0,7905.0,0,1,0
6399.0,9508.0,38183.0,0,0,0
25485.0,192359.0,130679.0,0,0,1
60.0,11.0,270.0,0,0,0
582.0,2439.0,1383.0,1,0,0
2498.0,7018.0,23440.0,0,1,0
187.0,985.0,1022.0,0,0,0
25506.0,180333.0,142231.0,0,0,1
326.0,623.0,1409.0,0,0,0
567.0,5836.0,5259.0,1,0,0
668.0,2413.0,4794.0,0,1,0
718.0,1950.0,4100.0,0,0,0
16262.0,128494.0,84785.0,0,0,1
18.0,118.0,299.0,0,0,0
93.0,556.0,638.0,1,0,0
475.0,1098.0,3091.0,0,1,0
411.0,629.0,1696.0,0,0,0
2447.0,21929.0,18354.0,0,0,1
0.0,183.0,168.0,0,0,0
204.0,2163.0,762.0,1,0,0
2214.0,13215.0,22071.0,0,1,0
114.0,1221.0,588.0,0,0,0
6015.0,82368.0,24639.0,0,0,1
39.0,231.0,354.0,0,0,0
207.0,1704.0,1377.0,1,0,0
2955.0,11907.0,28068.0,0,1,0
39.0,933.0,720.0,0,0,0
8787.0,76983.0,30342.0,0,0,1
375.0,1209.0,2180.0,0,0,0
1525.0,13215.0,7712.0,1,0,0
2544.0,9498.0,17397.0,0,1,0
11544.0,12609.0,58654.0,0,0,0
24742.0,121398.0,113090.0,0,0,1
42.0,157.0,295.0,0,0,0
378.0,1624.0,1040.0,1,0,0
1688.0,3049.0,13369.0,0,1,0
578.0,933.0,3081.0,0,0,0
11047.0,96072.0,61338.0,0,0,1
296.0,870.0,1869.0,0,0,0
1755.0,13619.0,10583.0,1,0,0
1427.0,6319.0,10609.0,0,1,0
3018.0,8150.0,16326.0,0,0,0
16033.0,131294.0,85194.0,0,0,1
74.0,403.0,723.0,0,0,0
644.0,3348.0,2225.0,1,0,0
7508.0,18539.0,60504.0,0,1,0
625.0,2242.0,2261.0,0,0,0
29654.0,205752.0,144802.0,0,0,1
113.0,173.0,703.0,0,0,0
466.0,1572.0,1293.0,1,0,0
92.0,177.0,580.0,0,1,0
1217.0,1299.0,5015.0,0,0,0
12961.0,64157.0,47101.0,0,0,1
112.0,268.0,507.0,0,0,0
151.0,1971.0,2273.0,1,0,0
1204.0,4491.0,10994.0,0,1,0
11079.0,19325.0,59891.0,0,0,0
8424.0,70338.0,29600.0,0,0,1
239.0,1049.0,1777.0,0,0,0
3342.0,25539.0,17533.0,1,0,0
2172.0,7714.0,15496.0,0,1,0
8733.0,16684.0,60216.0,0,0,0
22899.0,222997.0,113556.0,0,0,1
85.0,1047.0,918.0,0,0,0
4740.0,51584.0,36930.0,1,0,0
1676.0,8034.0,13721.0,0,1,0
3521.0,13237.0,39290.0,0,0,0
18469.0,200490.0,56021.0,0,0,1
172.0,963.0,1215.0,0,0,0
3791.0,44068.0,19235.0,1,0,0
4936.0,19924.0,31162.0,0,1,0
4138.0,13260.0,27267.0,0,0,0
20596.0,200017.0,76010.0,0,0,1
112.0,877.0,750.0,0,0,0
4387.0,42133.0,14711.0,1,0,0
805.0,5186.0,4686.0,0,1,0
5377.0,11009.0,31963.0,0,0,0
14085.0,156758.0,49587.0,0,0,1
0.0,57.0,98.0,0,0,0
47.0,150.0,307.0,1,0,0
108.0,544.0,1956.0,0,1,0
103.0,301.0,991.0,0,0,0
3380.0,30121.0,22077.0,0,0,1
32.0,32.0,43.0,0,0,0
43.0,244.0,327.0,1,0,0
100.0,69.0,535.0,0,1,0
61.0,153.0,506.0,0,0,0
7567.0,35558.0,43779.0,0,0,1
243.0,1200.0,2820.0,0,0,0
2076.0,20298.0,14010.0,1,0,0
1485.0,5496.0,11250.0,0,1,0
873.0,4173.0,5550.0,0,0,0
26181.0,259143.0,122346.0,0,0,1
170.0,121.0,709.0,0,0,0
977.0,3138.0,3020.0,1,0,0
390.0,866.0,2959.0,0,1,0
1667.0,1786.0,9601.0,0,0,0
3961.0,20765.0,20989.0,0,0,1
64.0,55.0,399.0,0,0,0
145.0,1131.0,385.0,1,0,0
717.0,1541.0,6097.0,0,1,0
186.0,535.0,624.0,0,0,0
8097.0,54422.0,44379.0,0,0,1
72.0,324.0,714.0,0,0,0
543.0,2007.0,4143.0,1,0,0
513.0,2049.0,4761.0,0,1,0
162.0,909.0,1671.0,0,0,0
6852.0,41871.0,41208.0,0,0,1
114.0,435.0,626.0,0,0,0
487.0,2416.0,2888.0,1,0,0
3336.0,8178.0,26129.0,0,1,0
2398.0,8186.0,12376.0,0,0,0
20976.0,163572.0,132177.0,0,0,1
169.0,279.0,1262.0,0,0,0
107.0,1628.0,1378.0,1,0,0
362.0,1532.0,2777.0,0,1,0
2967.0,4997.0,16926.0,0,0,0
6157.0,57039.0,43831.0,0,0,1
815.0,1846.0,3265.0,0,0,0
126.0,909.0,671.0,1,0,0
988.0,3119.0,9020.0,0,1,0
329.0,590.0,1238.0,0,0,0
8921.0,55588.0,37075.0,0,0,1
91.0,228.0,187.0,0,0,0
558.0,5130.0,2306.0,1,0,0
207.0,970.0,1553.0,0,1,0
3245.0,4530.0,16531.0,0,0,0
7985.0,54650.0,28736.0,0,0,1
148.0,1213.0,1123.0,0,0,0
3961.0,38345.0,19730.0,1,0,0
14124.0,85150.0,119707.0,0,1,0
3241.0,18372.0,42771.0,0,0,0
43025.0,472241.0,130882.0,0,0,1
24.0,206.0,120.0,0,0,0
256.0,1406.0,1026.0,1,0,0
2016.0,3585.0,16412.0,0,1,0
1183.0,3182.0,8175.0,0,0,0
10465.0,85964.0,49896.0,0,0,1
85.0,463.0,1222.0,0,0,0
194.0,2066.0,536.0,1,0,0
114.0,2886.0,9108.0,0,1,0
0.0,485.0,439.0,0,0,0
4238.0,72665.0,52420.0,0,0,1
88.0,1029.0,1374.0,0,0,0
119.0,3407.0,1263.0,1,0,0
92.0,3114.0,8112.0,0,1,0
0.0,1484.0,2307.0,0,0,0
3787.0,85497.0,60295.0,0,0,1
15.0,3167.0,5990.0,0,0,0
90.0,1836.0,1391.0,1,0,0
0.0,1359.0,2134.0,0,1,0
479.0,14646.0,33336.0,0,0,0
2142.0,57723.0,26373.0,0,0,1
0.0,613.0,1148.0,0,0,0
53.0,1398.0,801.0,1,0,0
25.0,856.0,2090.0,0,1,0
134.0,1166.0,4822.0,0,0,0
2031.0,58549.0,45859.0,0,0,1
380.0,8073.0,6788.0,0,0,0
759.0,24868.0,13648.0,1,0,0
2814.0,112257.0,118880.0,0,1,0
982.0,15221.0,31811.0,0,0,0
34346.0,423606.0,149557.0,0,0,1
124.0,2947.0,1914.0,0,0,0
236.0,8765.0,2448.0,1,0,0
240.0,8571.0,9635.0,0,1,0
733.0,18461.0,36625.0,0,0,0
9989.0,156640.0,49332.0,0,0,1
73.0,1241.0,2385.0,0,0,0
64.0,2804.0,1702.0,1,0,0
22.0,1184.0,4429.0,0,1,0
